Gene ID,Gene Name,accessory axillary lymph node,adrenal gland,aorta,bone (os femoris),cecum,cerebellum,cerebral cortex,colon,corpora quadrigemina,corpus striatum,diencephalon,epididymis,eyeball,hippocampus,intestinal mucosa,intestine,lung,medulla oblongata,olfactory brain,ovary,pancreas,pituitary gland,prostate,skin,spinal cord,spleen,stomach,submandibular gland,testis,thymus,tongue,urinary bladder,uterus,vagina,vesicular gland
ENSMUSG00000022538,Lsg1,59,23,20,27,7,23,19,22,22,19,16,23,20,21,9,15,26,21,16,27,20,31,29,33,19,30,21,25,74,29,26,22,25,30,15
ENSMUSG00000022540,Rogdi,219,39,54,60,22,111,187,21,179,166,166,123,83,314,15,16,43,160,123,42,44,111,75,28,136,40,42,57,90,21,19,59,29,18,66
ENSMUSG00000022542,Sep-12,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1385,,,,,,
ENSMUSG00000022544,Eef2kmt,33,20,32,7,17,3,6,14,4,7,6,27,13,8,3,9,18,5,5,22,32,27,24,18,4,11,24,24,20,7,19,24,26,22,42
ENSMUSG00000022545,Ercc4,42,15,9,16,11,23,14,9,17,13,16,11,14,15,13,10,17,18,12,13,16,12,13,19,15,13,10,14,62,17,13,14,14,10,12
ENSMUSG00000022546,Gpt,,4,18,0.9,35,2,3,96,6,8,5,1,96,4,199,170,10,7,,3,16,,,12,9,,40,3,,,13,13,,9,2
ENSMUSG00000022548,Apod,,,,,,0.6,,,,1,1,1,0.6,0.6,,,,2,2,,,,,0.5,2,,,0.6,,,,0.6,,,
ENSMUSG00000022550,Adck5,4,36,3,3,30,10,10,32,8,16,6,18,14,12,43,15,6,7,13,32,9,14,20,10,3,4,8,13,7,8,6,11,8,6,44
ENSMUSG00000022551,Cyc1,25,79,376,113,171,88,82,177,75,68,104,43,75,77,198,253,35,99,87,56,110,33,50,78,96,61,163,111,50,50,268,54,49,59,44
ENSMUSG00000022552,Sharpin,38,21,14,24,32,18,21,33,23,19,21,27,13,23,42,24,25,24,18,19,25,22,26,12,21,25,29,20,37,15,13,23,20,15,31
ENSMUSG00000022553,Maf1,22,24,22,35,37,30,21,29,22,22,20,29,24,23,29,21,32,22,29,23,23,41,21,25,18,30,5,24,34,27,30,33,19,20,31
